step,train_loss,val_exact,val_token_acc,lr,elapsed_sec
0,4.724235534667969,0.0,0.0,3e-05,4.52982497215271
300,2.0120198726654053,0.0,0.1333181818181818,0.0029889165186613824,19.175246953964233
600,1.983496069908142,0.0,0.13395454545454547,0.0029312252584644026,34.39936685562134
900,1.8832017183303833,0.0,0.18981818181818183,0.0028262802505665758,49.36277794837952
1200,1.7116460800170898,0.0,0.30404545454545456,0.0026779520437983317,65.55399513244629
1500,0.5322158336639404,0.0295,0.702,0.0024917112325092902,82.58950996398926
1800,0.3552226126194,0.222,0.8641818181818182,0.002274426691825128,98.53614211082458
2100,0.18094833195209503,0.505,0.9383636363636364,0.0020341122419518937,113.60871815681458
2400,0.07284963130950928,0.8155,0.9822727272727273,0.0017796310849753703,131.05509400367737
2700,0.05065947398543358,0.839,0.9845909090909091,0.0015203689150246297,299.06718587875366
3000,0.03735518082976341,0.8705,0.9877272727272727,0.0012658877580481063,602.9186630249023
3300,0.02926943637430668,0.9015,0.9907727272727272,0.0010255733081748729,654.4251022338867
3600,0.025631451979279518,0.944,0.9946363636363637,0.0008082887674907099,708.3822989463806
3900,0.01633591391146183,0.962,0.9964090909090909,0.0006220479562016685,1065.8172228336334
4200,0.014919285662472248,0.976,0.9976818181818182,0.00047371974943342433,1112.6853110790253
4500,0.010954630561172962,0.9885,0.9988181818181818,0.00036877474153559735,1195.777547121048
4800,0.009572961367666721,0.994,0.9993181818181818,0.00031108348133861787,1287.9351229667664
4999,0.009161964990198612,0.997,0.9995909090909091,0.00030000027746700307,1348.5720179080963
