step,train_loss,val_exact,val_token_acc,lr,elapsed_sec
0,4.7382426261901855,0.0,0.0,3e-05,8.443981170654297
300,2.066021680831909,0.0,0.13395454545454547,0.0029889165186613824,21.94618010520935
600,1.8575385808944702,0.0,0.1698181818181818,0.0029312252584644026,33.627142906188965
900,1.5026031732559204,0.0,0.2865909090909091,0.0028262802505665758,44.02927017211914
1200,0.5706102252006531,0.0165,0.6852727272727273,0.0026779520437983317,56.11962127685547
1500,0.44660520553588867,0.0735,0.7706818181818181,0.0024917112325092902,66.94768404960632
1800,0.3721284866333008,0.162,0.8266818181818182,0.002274426691825128,79.15198707580566
2100,0.2894876301288605,0.2365,0.856909090909091,0.0020341122419518937,91.45253920555115
2400,0.22125613689422607,0.3705,0.9067272727272727,0.0017796310849753703,103.47816514968872
2700,0.18115508556365967,0.4415,0.927,0.0015203689150246297,114.70394611358643
3000,0.1473822295665741,0.484,0.9360454545454545,0.0012658877580481063,130.34271693229675
3300,0.1295759081840515,0.5115,0.9413636363636364,0.0010255733081748729,142.82805109024048
3600,0.12302034348249435,0.542,0.9452272727272727,0.0008082887674907099,155.15789794921875
3900,0.11156275868415833,0.558,0.9484545454545454,0.0006220479562016685,166.8748481273651
4200,0.11120695620775223,0.5805,0.9518636363636364,0.00047371974943342433,179.1426661014557
4500,0.09853693842887878,0.609,0.9557727272727272,0.00036877474153559735,191.6457941532135
4800,0.09862923622131348,0.63,0.9593636363636364,0.00031108348133861787,202.930655002594
4999,0.09293834120035172,0.6475,0.9612727272727273,0.00030000027746700307,209.84836411476135
