step,train_loss,val_exact,val_token_acc,lr,elapsed_sec
0,4.727766036987305,0.0,0.0,3e-05,7.382076263427734
300,2.0091476440429688,0.0,0.13845454545454544,0.0029889165186613824,22.285002946853638
600,1.8615198135375977,0.0,0.17854545454545453,0.0029312252584644026,42.454395055770874
900,1.0509634017944336,0.001,0.5368181818181819,0.0028262802505665758,56.676188945770264
1200,0.42290398478507996,0.119,0.807,0.0026779520437983317,80.59141707420349
1500,0.09182041883468628,0.882,0.9881818181818182,0.0024917112325092902,103.96725916862488
1800,0.020337717607617378,0.997,0.9996818181818182,0.002274426691825128,126.27265310287476
2100,0.009320695884525776,0.9995,0.9999545454545454,0.0020341122419518937,141.26832103729248
2400,0.005800001788884401,1.0,1.0,0.0017796310849753703,155.68446016311646
2700,0.0044234697706997395,1.0,1.0,0.0015203689150246297,169.47600889205933
3000,0.0033563992474228144,1.0,1.0,0.0012658877580481063,182.43459606170654
3300,0.002950894646346569,1.0,1.0,0.0010255733081748729,193.60260200500488
3600,0.0024996378924697638,1.0,1.0,0.0008082887674907099,206.9241349697113
3900,0.0022321511059999466,1.0,1.0,0.0006220479562016685,223.21763396263123
4200,0.0019865732174366713,1.0,1.0,0.00047371974943342433,237.1741280555725
4500,0.0019505914533510804,1.0,1.0,0.00036877474153559735,250.68547987937927
4800,0.0017023548716679215,1.0,1.0,0.00031108348133861787,262.75130009651184
4999,0.0016669839387759566,1.0,1.0,0.00030000027746700307,271.60148000717163
