step,train_loss,val_exact,val_token_acc,lr,elapsed_sec
0,4.724235534667969,0.0,0.0,3e-05,4.020112037658691
300,2.0120341777801514,0.0,0.1333181818181818,0.0029889165186613824,18.312016010284424
600,1.983441710472107,0.0,0.13395454545454547,0.0029312252584644026,31.29155397415161
900,1.8950275182724,0.0,0.18786363636363637,0.0028262802505665758,44.615882873535156
1200,1.2892404794692993,0.0,0.4014090909090909,0.0026779520437983317,57.8581109046936
1500,0.5072351098060608,0.0485,0.7396818181818182,0.0024917112325092902,71.16395688056946
1800,0.3907383978366852,0.1445,0.8234090909090909,0.002274426691825128,84.41672015190125
2100,0.12167917937040329,0.696,0.9650454545454545,0.0020341122419518937,97.14869809150696
2400,0.03440386801958084,0.9665,0.9969545454545454,0.0017796310849753703,109.57130694389343
2700,0.016823099926114082,0.9845,0.9985909090909091,0.0015203689150246297,122.14054703712463
3000,0.011120458133518696,0.993,0.9993636363636363,0.0012658877580481063,134.9006700515747
3300,0.008313506841659546,0.996,0.9996363636363637,0.0010255733081748729,147.20975303649902
3600,0.007041374687105417,0.997,0.9997272727272727,0.0008082887674907099,160.78870391845703
3900,0.005337148904800415,0.9975,0.9997727272727273,0.0006220479562016685,174.71377205848694
4200,0.004827745724469423,0.9995,0.9999545454545454,0.00047371974943342433,189.08924627304077
4500,0.0050076949410140514,0.999,0.9999090909090909,0.00036877474153559735,203.72325110435486
4800,0.0038737973663955927,0.9995,0.9999545454545454,0.00031108348133861787,218.5782709121704
4999,0.003890902968123555,0.9995,0.9999545454545454,0.00030000027746700307,228.73421001434326
