step,train_loss,val_exact,val_token_acc,lr,elapsed_sec
0,4.71881628036499,0.0,0.0,3e-05,2.270775079727173
300,2.025930404663086,0.0,0.13240909090909092,0.0029889165186613824,11.267483234405518
600,1.9708582162857056,0.0,0.13736363636363635,0.0029312252584644026,19.809782028198242
900,1.9281381368637085,0.0,0.17931818181818182,0.0028262802505665758,28.492799043655396
1200,1.9218164682388306,0.0,0.1486818181818182,0.0026779520437983317,37.024500131607056
1500,1.9204267263412476,0.0,0.17845454545454545,0.0024917112325092902,45.73816394805908
1800,1.9191850423812866,0.0,0.17704545454545453,0.002274426691825128,54.009437084198
2100,1.9180537462234497,0.0,0.1420909090909091,0.0020341122419518937,61.93462514877319
2400,1.6970361471176147,0.0,0.24331818181818182,0.0017796310849753703,70.7856650352478
2700,1.2510496377944946,0.0,0.4011818181818182,0.0015203689150246297,79.30607223510742
3000,0.5695730447769165,0.0145,0.6843636363636364,0.0012658877580481063,86.88361811637878
3300,0.34398236870765686,0.2835,0.8817272727272727,0.0010255733081748729,94.37969207763672
3600,0.09641730040311813,0.958,0.9949545454545454,0.0008082887674907099,101.82279825210571
3900,0.043428968638181686,0.9925,0.9993181818181818,0.0006220479562016685,109.44726824760437
4200,0.027935316786170006,0.997,0.9997272727272727,0.00047371974943342433,116.93173813819885
4500,0.02059105597436428,0.9975,0.9997727272727273,0.00036877474153559735,124.47346901893616
4800,0.01638299785554409,0.999,0.9999090909090909,0.00031108348133861787,132.72236108779907
4999,0.013992272317409515,0.9995,0.9999545454545454,0.00030000027746700307,137.8466980457306
5100,0.013361621648073196,0.9995,0.9999545454545454,0.00030000000000000003,140.69463396072388
5400,0.011145159602165222,0.9995,0.9999545454545454,0.00030000000000000003,148.17678689956665
5700,0.008904609829187393,1.0,1.0,0.00030000000000000003,155.4426040649414
6000,0.007242599036544561,1.0,1.0,0.00030000000000000003,164.3487241268158
6300,0.005847325082868338,1.0,1.0,0.00030000000000000003,229.1289541721344
6600,0.004885578993707895,1.0,1.0,0.00030000000000000003,268.9025890827179
6900,0.004027824383229017,1.0,1.0,0.00030000000000000003,301.3473091125488
7200,0.0034786562900990248,1.0,1.0,0.00030000000000000003,332.16422295570374
7500,0.002768063684925437,1.0,1.0,0.00030000000000000003,4609.354614019394
7800,0.002348673762753606,1.0,1.0,0.00030000000000000003,4620.780972003937
8100,0.0019531489815562963,1.0,1.0,0.00030000000000000003,4631.577769041061
8400,0.0016143921529874206,1.0,1.0,0.00030000000000000003,4640.580137968063
8700,0.0013611707836389542,1.0,1.0,0.00030000000000000003,4649.295974969864
9000,0.0012250464642420411,1.0,1.0,0.00030000000000000003,4657.857976198196
9300,0.0009820043342188,1.0,1.0,0.00030000000000000003,4666.049451112747
9600,0.0008277499000541866,1.0,1.0,0.00030000000000000003,4674.545275211334
9900,0.0006930658710189164,1.0,1.0,0.00030000000000000003,4683.791162252426
10200,0.0005885832943022251,1.0,1.0,0.00030000000000000003,4692.368942260742
10500,0.0005330713465809822,1.0,1.0,0.00030000000000000003,4700.302597284317
10800,0.00045296092866919935,1.0,1.0,0.00030000000000000003,4708.298290014267
11100,0.0003617523761931807,1.0,1.0,0.00030000000000000003,4715.945283174515
11400,0.00032465936965309083,1.0,1.0,0.00030000000000000003,4724.089277982712
11700,0.0002694364229682833,1.0,1.0,0.00030000000000000003,4732.01344203949
12000,0.00024165543436538428,1.0,1.0,0.00030000000000000003,4740.496781110764
12300,0.00020881928503513336,1.0,1.0,0.00030000000000000003,4748.6484270095825
12600,0.000173194392118603,1.0,1.0,0.00030000000000000003,4756.942160844803
12900,0.00014590822684112936,1.0,1.0,0.00030000000000000003,4765.315714120865
13200,0.0001288551138713956,1.0,1.0,0.00030000000000000003,4773.664104938507
13500,0.00011027997970813885,1.0,1.0,0.00030000000000000003,4781.49613904953
13800,9.208414849126711e-05,1.0,1.0,0.00030000000000000003,4789.293476104736
14100,8.134659583447501e-05,1.0,1.0,0.00030000000000000003,4797.765278100967
14400,6.750383181497455e-05,1.0,1.0,0.00030000000000000003,4805.79998588562
14700,6.0352846048772335e-05,1.0,1.0,0.00030000000000000003,4813.670742988586
15000,4.956647171638906e-05,1.0,1.0,0.00030000000000000003,4821.644566059113
15300,4.2598898289725184e-05,1.0,1.0,0.00030000000000000003,4830.413661956787
15600,3.917197318514809e-05,1.0,1.0,0.00030000000000000003,4839.018790960312
15900,3.248744906159118e-05,1.0,1.0,0.00030000000000000003,4849.000267028809
16200,3.0447792596532963e-05,1.0,1.0,0.00030000000000000003,4858.90247297287
16500,2.4119546651490964e-05,1.0,1.0,0.00030000000000000003,4868.178027153015
16800,2.0581357603077777e-05,1.0,1.0,0.00030000000000000003,4876.512238025665
17100,1.8235283278045245e-05,1.0,1.0,0.00030000000000000003,4885.289230108261
17400,0.0009060178999789059,1.0,1.0,0.00030000000000000003,4893.865485191345
17700,2.389684959780425e-05,1.0,1.0,0.00030000000000000003,4902.500739097595
18000,1.872335451480467e-05,1.0,1.0,0.00030000000000000003,4911.656930208206
18300,1.6881696865311824e-05,1.0,1.0,0.00030000000000000003,4920.98393201828
18600,1.5285329936887138e-05,1.0,1.0,0.00030000000000000003,4930.006274223328
18900,1.3139632756065112e-05,1.0,1.0,0.00030000000000000003,4939.085480928421
19200,1.3825949281454086e-05,1.0,1.0,0.00030000000000000003,4952.472207069397
19500,1.1559420272533316e-05,1.0,1.0,0.00030000000000000003,4962.118701219559
19800,1.1272498340986203e-05,1.0,1.0,0.00030000000000000003,4970.593002080917
