step,train_loss,val_exact,val_token_acc,lr,elapsed_sec
0,4.724235534667969,0.0,0.0,3e-05,3.7826712131500244
300,1.966207504272461,0.0,0.16804545454545455,0.0029889165186613824,13.360441207885742
600,0.6598808765411377,0.0185,0.6828181818181818,0.0029312252584644026,23.175365924835205
900,0.4054540693759918,0.122,0.8120454545454545,0.0028262802505665758,33.4736168384552
1200,0.31127309799194336,0.219,0.8582727272727273,0.0026779520437983317,42.13382816314697
1500,0.19001878798007965,0.433,0.9250909090909091,0.0024917112325092902,51.728123903274536
1800,0.11875031143426895,0.6075,0.9579545454545455,0.002274426691825128,60.41834807395935
2100,0.07994703203439713,0.6915,0.9704090909090909,0.0020341122419518937,69.97756791114807
2400,0.059167683124542236,0.719,0.9739545454545454,0.0017796310849753703,78.63018012046814
2700,0.027089042589068413,0.9735,0.9974090909090909,0.0015203689150246297,87.60269904136658
3000,0.00791842769831419,0.9935,0.9994090909090909,0.0012658877580481063,96.35092997550964
3300,0.006631811615079641,0.9925,0.9993181818181818,0.0010255733081748729,104.5292489528656
3600,0.006298969034105539,0.9955,0.9995909090909091,0.0008082887674907099,112.39323115348816
3900,0.0038181322161108255,0.997,0.9997272727272727,0.0006220479562016685,120.92092704772949
4200,0.0033164266496896744,0.997,0.9997272727272727,0.00047371974943342433,129.14850902557373
4500,0.0029220592696219683,0.9975,0.9997727272727273,0.00036877474153559735,138.11725687980652
4800,0.0028462987393140793,0.998,0.9998181818181818,0.00031108348133861787,147.6066291332245
4999,0.002505415352061391,0.998,0.9998181818181818,0.00030000027746700307,154.15147185325623
