step,train_loss,val_exact,val_token_acc,lr,elapsed_sec
0,4.737836837768555,0.0,0.0,3e-05,15.234516859054565
300,2.127584218978882,0.0,0.13395454545454547,0.0029889165186613824,123.72984194755554
600,1.9776434898376465,0.0,0.1373181818181818,0.0029312252584644026,240.08561897277832
900,1.965536117553711,0.0,0.1365909090909091,0.0028262802505665758,371.9746108055115
1200,1.962548851966858,0.0,0.1389090909090909,0.0026779520437983317,499.60083508491516
1500,1.7666095495224,0.0,0.215,0.0024917112325092902,651.5076789855957
1800,1.0256547927856445,0.0,0.40445454545454546,0.002274426691825128,792.1897709369659
2100,0.47025689482688904,0.045,0.734,0.0020341122419518937,946.7209370136261
2400,0.4449821412563324,0.0565,0.7404090909090909,0.0017796310849753703,1124.3214559555054
2700,0.4463029205799103,0.0585,0.7410909090909091,0.0015203689150246297,1230.3218569755554
3000,0.4282388687133789,0.06,0.7453636363636363,0.0012658877580481063,1412.640657901764
3300,0.4288109838962555,0.0645,0.7516818181818182,0.0010255733081748729,1551.8348588943481
3600,0.3559476435184479,0.1315,0.8229545454545455,0.0008082887674907099,1750.1199269294739
3900,0.16226817667484283,0.686,0.9650454545454545,0.0006220479562016685,1921.7570717334747
4200,0.05107550323009491,0.987,0.9988181818181818,0.00047371974943342433,2090.0392940044403
4500,0.02818998135626316,0.9955,0.9995909090909091,0.00036877474153559735,2221.924691915512
4800,0.020284583792090416,0.9975,0.9997727272727273,0.00031108348133861787,2368.136610031128
4999,0.016923075541853905,0.998,0.9998181818181818,0.00030000027746700307,2480.677785873413
