step,train_loss,val_exact,val_token_acc,lr,elapsed_sec
0,4.735061168670654,0.0,0.0895909090909091,3e-05,4.349226236343384
300,2.023709297180176,0.0,0.13754545454545455,0.0029889165186613824,20.378055334091187
600,1.9692057371139526,0.0,0.1434090909090909,0.0029312252584644026,33.88379430770874
900,0.7489951252937317,0.007,0.606,0.0028262802505665758,46.43449425697327
1200,0.521374523639679,0.0325,0.7092272727272727,0.0026779520437983317,59.4121630191803
1500,0.4578571319580078,0.065,0.7454090909090909,0.0024917112325092902,71.75642228126526
1800,0.4290178716182709,0.073,0.7627272727272727,0.002274426691825128,85.25259208679199
2100,0.31527188420295715,0.2465,0.8688181818181818,0.0020341122419518937,97.14956617355347
2400,0.11290783435106277,0.808,0.9795,0.0017796310849753703,108.91549015045166
2700,0.02970750443637371,0.9955,0.9995909090909091,0.0015203689150246297,120.34139108657837
3000,0.0164162777364254,0.9995,0.9999545454545454,0.0012658877580481063,131.54891109466553
3300,0.01207421999424696,0.9995,0.9999545454545454,0.0010255733081748729,143.52314805984497
3600,0.009059770964086056,1.0,1.0,0.0008082887674907099,156.0022542476654
3900,0.007109321653842926,1.0,1.0,0.0006220479562016685,168.44251799583435
4200,0.0062536452896893024,1.0,1.0,0.00047371974943342433,180.34322023391724
4500,0.005242491140961647,1.0,1.0,0.00036877474153559735,191.63213419914246
4800,0.004849398974329233,1.0,1.0,0.00031108348133861787,203.91501116752625
4999,0.00438247574493289,1.0,1.0,0.00030000027746700307,211.52035522460938
