step,train_loss,val_exact,val_token_acc,lr,elapsed_sec
0,4.730210781097412,0.0,0.0,3e-05,5.9020421504974365
300,2.145214319229126,0.0,0.13772727272727273,0.0029889165186613824,14.142316102981567
600,1.2776914834976196,0.0,0.2932727272727273,0.0029312252584644026,22.381083250045776
900,0.9404913783073425,0.005,0.5714090909090909,0.0028262802505665758,30.658384084701538
1200,0.5777757167816162,0.0455,0.7388636363636364,0.0026779520437983317,38.75365090370178
1500,0.319428950548172,0.3795,0.9109545454545455,0.0024917112325092902,46.73138403892517
1800,0.14264102280139923,0.8005,0.976909090909091,0.002274426691825128,54.8834810256958
2100,0.07999656349420547,0.908,0.9892272727272727,0.0020341122419518937,63.123295068740845
2400,0.04855724051594734,0.9595,0.9957272727272727,0.0017796310849753703,71.6618549823761
2700,0.03220371529459953,0.986,0.9985454545454545,0.0015203689150246297,80.87616419792175
3000,0.023815274238586426,0.992,0.9992272727272727,0.0012658877580481063,89.87954616546631
3300,0.019979214295744896,0.9945,0.9994545454545455,0.0010255733081748729,97.85525703430176
3600,0.0165680143982172,0.997,0.9996818181818182,0.0008082887674907099,105.997309923172
3900,0.014044322073459625,0.9975,0.9997272727272727,0.0006220479562016685,114.3882360458374
4200,0.01287947129458189,0.999,0.9999090909090909,0.00047371974943342433,122.34951090812683
4500,0.011442407965660095,0.998,0.9997727272727273,0.00036877474153559735,130.81972312927246
4800,0.011136050336062908,0.9985,0.9998636363636364,0.00031108348133861787,139.36907386779785
4999,0.010435822419822216,0.9995,0.9999545454545454,0.00030000027746700307,144.6861391067505
