step,train_loss,val_exact,val_token_acc,lr,elapsed_sec
0,4.727766513824463,0.0,0.0,3e-05,74.97458291053772
300,2.009035110473633,0.0,0.13745454545454547,0.0029889165186613824,184.67095398902893
600,1.88983952999115,0.0,0.16072727272727272,0.0029312252584644026,275.24512481689453
900,1.656420350074768,0.0,0.24559090909090908,0.0028262802505665758,349.86016297340393
1200,1.2847657203674316,0.0,0.36527272727272725,0.0026779520437983317,423.01285886764526
1500,1.0905689001083374,0.001,0.44981818181818184,0.0024917112325092902,506.68349289894104
1800,0.6503079533576965,0.0175,0.6670454545454545,0.002274426691825128,603.7605409622192
2100,0.5190696120262146,0.04,0.7234545454545455,0.0020341122419518937,706.9536669254303
2400,0.48020896315574646,0.0545,0.7373636363636363,0.0017796310849753703,789.2162590026855
2700,0.4550783336162567,0.059,0.7557272727272727,0.0015203689150246297,855.1851058006287
3000,0.39995846152305603,0.1185,0.8070909090909091,0.0012658877580481063,936.1815838813782
3300,0.3755247890949249,0.144,0.83,0.0010255733081748729,1007.325731754303
3600,0.3458890914916992,0.1795,0.849,0.0008082887674907099,1084.0906598567963
3900,0.30111953616142273,0.219,0.8676818181818182,0.0006220479562016685,1160.9450287818909
4200,0.2894769012928009,0.2615,0.8806818181818182,0.00047371974943342433,1233.020677804947
4500,0.2642330825328827,0.2875,0.8885,0.00036877474153559735,1301.2007098197937
4800,0.2607480585575104,0.315,0.8951363636363636,0.00031108348133861787,1357.6475539207458
4999,0.2444431185722351,0.3405,0.900090909090909,0.00030000027746700307,1400.3467710018158
