step,train_loss,val_exact,val_token_acc,lr,elapsed_sec
0,4.724235534667969,0.0,0.0,3e-05,58.456801891326904
300,2.0100953578948975,0.0,0.13754545454545455,0.0029889165186613824,125.6592378616333
600,1.9686912298202515,0.0,0.13736363636363635,0.0029312252584644026,190.8054859638214
900,1.844509482383728,0.0,0.1985,0.0028262802505665758,257.7292149066925
1200,0.7420644760131836,0.0035,0.5761818181818181,0.0026779520437983317,321.0842468738556
1500,0.49605610966682434,0.0335,0.7122272727272727,0.0024917112325092902,375.7437479496002
1800,0.42523670196533203,0.0785,0.7719545454545454,0.002274426691825128,439.70890283584595
2100,0.33978962898254395,0.148,0.83,0.0020341122419518937,495.702960729599
2400,0.22972075641155243,0.3525,0.9084545454545454,0.0017796310849753703,553.9611670970917
2700,0.13377434015274048,0.619,0.9572272727272727,0.0015203689150246297,615.6180939674377
3000,0.07881924510002136,0.7155,0.9698181818181818,0.0012658877580481063,672.722984790802
3300,0.05429476127028465,0.846,0.9850454545454546,0.0010255733081748729,727.5590379238129
3600,0.02323223650455475,0.9865,0.9987727272727273,0.0008082887674907099,781.2753479480743
3900,0.014936779625713825,0.994,0.9994545454545455,0.0006220479562016685,836.4185678958893
4200,0.011247553862631321,0.9965,0.9996818181818182,0.00047371974943342433,889.4993019104004
4500,0.00881038699299097,0.997,0.9997272727272727,0.00036877474153559735,940.5860199928284
4800,0.007644254714250565,0.998,0.9998181818181818,0.00031108348133861787,999.7679989337921
4999,0.006887521594762802,0.9975,0.9997727272727273,0.00030000027746700307,1037.6126577854156
