step,train_loss,val_exact,val_token_acc,lr,elapsed_sec
0,4.724235534667969,0.0,0.0,3e-05,3.0505261421203613
300,2.0106990337371826,0.0,0.13368181818181818,0.0029889165186613824,10.77471923828125
600,1.9725810289382935,0.0,0.1355,0.0029312252584644026,18.841418266296387
900,1.9579461812973022,0.0,0.13395454545454547,0.0028262802505665758,27.146390914916992
1200,1.8153671026229858,0.0,0.20963636363636365,0.0026779520437983317,37.41709613800049
1500,0.7142205238342285,0.0075,0.6030909090909091,0.0024917112325092902,48.9372341632843
1800,0.4423741102218628,0.0695,0.7739090909090909,0.002274426691825128,58.40928602218628
2100,0.23121829330921173,0.3995,0.9157272727272727,0.0020341122419518937,66.08687996864319
2400,0.062206465750932693,0.9495,0.9948181818181818,0.0017796310849753703,75.19089102745056
2700,0.023670440539717674,0.9945,0.9995,0.0015203689150246297,84.0934271812439
3000,0.013082295656204224,0.999,0.9999090909090909,0.0012658877580481063,93.15507507324219
3300,0.009846902452409267,0.9995,0.9999545454545454,0.0010255733081748729,102.83996510505676
3600,0.007490487769246101,1.0,1.0,0.0008082887674907099,112.68561816215515
3900,0.0057493238709867,1.0,1.0,0.0006220479562016685,121.27991914749146
4200,0.004947032779455185,1.0,1.0,0.00047371974943342433,129.2133390903473
4500,0.004052893724292517,1.0,1.0,0.00036877474153559735,136.9976999759674
4800,0.003949732054024935,1.0,1.0,0.00031108348133861787,144.84663200378418
4999,0.003741186810657382,1.0,1.0,0.00030000027746700307,150.1181640625
