step,train_loss,val_exact,val_token_acc,lr,elapsed_sec
0,4.724235534667969,0.0,0.0,3e-05,4.521331071853638
300,2.009504795074463,0.0,0.1380909090909091,0.0029889165186613824,21.53300905227661
600,1.8948473930358887,0.0,0.17909090909090908,0.0029312252584644026,38.45090889930725
900,1.2514324188232422,0.0,0.359,0.0028262802505665758,55.64836621284485
1200,0.5438694357872009,0.0265,0.7107727272727272,0.0026779520437983317,72.29147911071777
1500,0.41109392046928406,0.0825,0.7935909090909091,0.0024917112325092902,88.12065696716309
1800,0.3557513654232025,0.1195,0.8212727272727273,0.002274426691825128,103.74287390708923
2100,0.27128124237060547,0.268,0.8831363636363636,0.0020341122419518937,120.20705890655518
2400,0.16977722942829132,0.5595,0.9453636363636364,0.0017796310849753703,134.5640959739685
2700,0.13019204139709473,0.6885,0.9647272727272728,0.0015203689150246297,147.6403489112854
3000,0.09544872492551804,0.7865,0.9767272727272728,0.0012658877580481063,161.94369792938232
3300,0.07579915970563889,0.8375,0.9831363636363636,0.0010255733081748729,177.3391969203949
3600,0.06064871326088905,0.875,0.9875,0.0008082887674907099,192.3628990650177
3900,0.04724689945578575,0.916,0.9917272727272727,0.0006220479562016685,207.94452905654907
4200,0.04297121241688728,0.935,0.9936818181818182,0.00047371974943342433,223.0980429649353
4500,0.03539999946951866,0.9505,0.9952272727272727,0.00036877474153559735,238.54570817947388
4800,0.0319746769964695,0.9605,0.9962727272727273,0.00031108348133861787,254.10105395317078
4999,0.02944003976881504,0.961,0.9963181818181818,0.00030000027746700307,265.2363269329071
