step,train_loss,val_exact,val_token_acc,lr,elapsed_sec
0,4.7237749099731445,0.0,0.009,3e-05,3.65129017829895
300,2.072831869125366,0.0,0.13854545454545455,0.0029889165186613824,9.550552129745483
600,0.7091062068939209,0.0085,0.6300454545454546,0.0029312252584644026,15.5296311378479
900,0.47924113273620605,0.056,0.7397272727272727,0.0028262802505665758,21.308102130889893
1200,0.43672165274620056,0.0545,0.7436363636363637,0.0026779520437983317,27.381524085998535
1500,0.3053297698497772,0.263,0.8747727272727273,0.0024917112325092902,33.26055717468262
1800,0.13728177547454834,0.6325,0.9569545454545455,0.002274426691825128,39.23291611671448
2100,0.0694189965724945,0.8175,0.9815,0.0020341122419518937,45.35035705566406
2400,0.02532178722321987,0.9815,0.9982272727272727,0.0017796310849753703,51.50109314918518
2700,0.011559906415641308,0.992,0.9992727272727273,0.0015203689150246297,57.87692308425903
3000,0.006504209712147713,0.996,0.9996363636363637,0.0012658877580481063,63.919135093688965
3300,0.004946611355990171,0.9975,0.9997727272727273,0.0010255733081748729,70.46461629867554
3600,0.003933892585337162,0.998,0.9998181818181818,0.0008082887674907099,77.4896011352539
3900,0.003116930602118373,0.998,0.9998181818181818,0.0006220479562016685,84.64995098114014
4200,0.0028372928500175476,0.998,0.9998181818181818,0.00047371974943342433,91.41164803504944
4500,0.002561175497248769,0.999,0.9999090909090909,0.00036877474153559735,98.31017017364502
4800,0.0022977080661803484,1.0,1.0,0.00031108348133861787,105.12635898590088
4999,0.0021438677795231342,1.0,1.0,0.00030000027746700307,109.72728514671326
