step,train_loss,val_exact,val_token_acc,lr,elapsed_sec
0,4.724235534667969,0.0,0.0,3e-05,3.611560821533203
300,2.0115957260131836,0.0,0.13368181818181818,0.0029889165186613824,11.355589866638184
600,1.970178484916687,0.0,0.13472727272727272,0.0029312252584644026,19.101313829421997
900,1.9638625383377075,0.0,0.13472727272727272,0.0028262802505665758,27.633141040802002
1200,1.8552926778793335,0.0,0.20981818181818182,0.0026779520437983317,35.27656579017639
1500,0.7184907793998718,0.0095,0.6395454545454545,0.0024917112325092902,42.75812578201294
1800,0.27235567569732666,0.3675,0.9026818181818181,0.002274426691825128,50.39300203323364
2100,0.04431667923927307,0.935,0.9933181818181818,0.0020341122419518937,58.11120080947876
2400,0.02140904776751995,0.9645,0.9963636363636363,0.0017796310849753703,66.52497982978821
2700,0.016985347494482994,0.9725,0.9971818181818182,0.0015203689150246297,74.07019090652466
3000,0.011934797279536724,0.982,0.9982272727272727,0.0012658877580481063,81.87021589279175
3300,0.008774962276220322,0.987,0.9986818181818182,0.0010255733081748729,89.68280577659607
3600,0.007016974035650492,0.9885,0.9988181818181818,0.0008082887674907099,97.28886198997498
3900,0.006927122827619314,0.989,0.9989090909090909,0.0006220479562016685,105.00749492645264
4200,0.005902782082557678,0.988,0.9987727272727273,0.00047371974943342433,113.52813863754272
4500,0.006093146745115519,0.99,0.999,0.00036877474153559735,120.97646498680115
4800,0.003976268228143454,0.9905,0.9990454545454546,0.00031108348133861787,128.84814476966858
4999,0.004483390133827925,0.991,0.9990909090909091,0.00030000027746700307,133.61806797981262
