step,train_loss,val_exact,val_token_acc,lr,elapsed_sec
0,4.7237749099731445,0.0,0.008954545454545455,3e-05,4.64020299911499
300,2.089092493057251,0.0,0.1333181818181818,0.0029889165186613824,11.873821020126343
600,0.7256569862365723,0.008,0.6423181818181818,0.0029312252584644026,19.29031777381897
900,0.48060187697410583,0.06,0.7415909090909091,0.0028262802505665758,26.23475193977356
1200,0.43972182273864746,0.059,0.7422272727272727,0.0026779520437983317,33.32366490364075
1500,0.4203528165817261,0.068,0.7530909090909091,0.0024917112325092902,40.34513592720032
1800,0.19737277925014496,0.466,0.9259545454545455,0.002274426691825128,47.67646288871765
2100,0.11073169857263565,0.7115,0.9661818181818181,0.0020341122419518937,53.82291293144226
2400,0.055534008890390396,0.8785,0.9866818181818182,0.0017796310849753703,60.31996703147888
2700,0.026353895664215088,0.964,0.9964545454545455,0.0015203689150246297,67.17573285102844
3000,0.013879754580557346,0.985,0.9985909090909091,0.0012658877580481063,74.16849780082703
3300,0.009673460386693478,0.9955,0.9995909090909091,0.0010255733081748729,80.96380591392517
3600,0.007215430494397879,0.995,0.9995454545454545,0.0008082887674907099,87.51386189460754
3900,0.005137945059686899,0.996,0.9996363636363637,0.0006220479562016685,94.57946705818176
4200,0.0047452752478420734,0.9965,0.9996818181818182,0.00047371974943342433,101.87430667877197
4500,0.004181409254670143,0.9965,0.9996818181818182,0.00036877474153559735,108.92342400550842
4800,0.0040111602284014225,0.9965,0.9996818181818182,0.00031108348133861787,115.17373704910278
4999,0.0033465407323092222,0.9975,0.9997727272727273,0.00030000027746700307,119.5591549873352
