step,train_loss,val_exact,val_token_acc,lr,elapsed_sec
0,4.724235534667969,0.0,0.0,3e-05,3.0004091262817383
300,2.0116119384765625,0.0,0.13368181818181818,0.0029889165186613824,9.382827043533325
600,1.9705266952514648,0.0,0.13472727272727272,0.0029312252584644026,16.17582678794861
900,1.9642672538757324,0.0,0.13472727272727272,0.0028262802505665758,22.780584812164307
1200,1.9149361848831177,0.0,0.17472727272727273,0.0026779520437983317,30.131136894226074
1500,1.2402876615524292,0.0,0.4636818181818182,0.0024917112325092902,38.69339990615845
1800,0.5144321322441101,0.057,0.7480909090909091,0.002274426691825128,46.12559199333191
2100,0.41403087973594666,0.067,0.7635,0.0020341122419518937,52.9235360622406
2400,0.40417802333831787,0.0695,0.7689545454545454,0.0017796310849753703,59.82666802406311
2700,0.374581903219223,0.1025,0.8,0.0015203689150246297,67.725270986557
3000,0.2438255101442337,0.2815,0.8856818181818182,0.0012658877580481063,74.68658995628357
3300,0.09072607755661011,0.856,0.9851363636363636,0.0010255733081748729,82.01226115226746
3600,0.047378987073898315,0.961,0.9961818181818182,0.0008082887674907099,88.93117594718933
3900,0.03194539248943329,0.9795,0.998,0.0006220479562016685,96.26542496681213
4200,0.024641448631882668,0.9865,0.9986363636363637,0.00047371974943342433,105.00274085998535
4500,0.019489610567688942,0.99,0.9990909090909091,0.00036877474153559735,112.29941391944885
4800,0.01899472437798977,0.9925,0.9993181818181818,0.00031108348133861787,120.05817890167236
4999,0.016093408688902855,0.995,0.9995454545454545,0.00030000027746700307,125.73291492462158
