step,train_loss,val_exact,val_token_acc,lr,elapsed_sec
0,4.738130569458008,0.0,0.0,3e-05,2.737163782119751
300,2.015279769897461,0.0,0.13468181818181818,0.0029889165186613824,8.471031665802002
600,1.9819272756576538,0.0,0.1365909090909091,0.0029312252584644026,14.395734786987305
900,1.8905515670776367,0.0,0.18436363636363637,0.0028262802505665758,19.96168565750122
1200,0.8995878100395203,0.0025,0.6010909090909091,0.0026779520437983317,25.788068771362305
1500,0.4433594048023224,0.088,0.7831363636363636,0.0024917112325092902,31.473522901535034
1800,0.36259540915489197,0.1445,0.8311363636363637,0.002274426691825128,37.251518964767456
2100,0.30951035022735596,0.179,0.8436818181818182,0.0020341122419518937,43.416207790374756
2400,0.2921767830848694,0.216,0.8554545454545455,0.0017796310849753703,49.579471826553345
2700,0.2709777355194092,0.2515,0.8698181818181818,0.0015203689150246297,56.23797297477722
3000,0.24460740387439728,0.3195,0.8911363636363636,0.0012658877580481063,62.44071888923645
3300,0.2139957696199417,0.3735,0.904,0.0010255733081748729,68.49617886543274
3600,0.18905816972255707,0.428,0.9175,0.0008082887674907099,74.48503184318542
3900,0.1473427712917328,0.552,0.9426363636363636,0.0006220479562016685,80.53371977806091
4200,0.12116251140832901,0.6285,0.956590909090909,0.00047371974943342433,86.31178379058838
4500,0.09618860483169556,0.6865,0.9655,0.00036877474153559735,92.06850004196167
4800,0.09383577108383179,0.734,0.9724090909090909,0.00031108348133861787,97.81848788261414
4999,0.0794215276837349,0.74,0.9737727272727272,0.00030000027746700307,101.82402896881104
