step,train_loss,val_exact,val_token_acc,lr,elapsed_sec
0,4.724235534667969,0.0,0.0,3e-05,4.9439239501953125
300,2.012249708175659,0.0,0.13304545454545455,0.0029889165186613824,14.609551906585693
600,1.97079336643219,0.0,0.13472727272727272,0.0029312252584644026,23.66927695274353
900,1.9274425506591797,0.0,0.17777272727272728,0.0028262802505665758,32.16230511665344
1200,1.8455413579940796,0.0,0.21495454545454545,0.0026779520437983317,41.25137686729431
1500,1.2874672412872314,0.0,0.39490909090909093,0.0024917112325092902,50.82905983924866
1800,0.4410552978515625,0.0765,0.7768636363636363,0.002274426691825128,59.94988393783569
2100,0.30971193313598633,0.1895,0.8419090909090909,0.0020341122419518937,70.1097149848938
2400,0.22744840383529663,0.385,0.9036818181818181,0.0017796310849753703,79.43616485595703
2700,0.1816190928220749,0.5205,0.9298636363636363,0.0015203689150246297,88.3547580242157
3000,0.14700639247894287,0.6385,0.9496818181818182,0.0012658877580481063,96.81783986091614
3300,0.12210720032453537,0.728,0.9641363636363637,0.0010255733081748729,105.89807796478271
3600,0.09887941926717758,0.7735,0.9714545454545455,0.0008082887674907099,114.56034588813782
3900,0.09122997522354126,0.799,0.9754090909090909,0.0006220479562016685,123.33036279678345
4200,0.0828704908490181,0.8175,0.9778636363636364,0.00047371974943342433,132.46421194076538
4500,0.07253941148519516,0.846,0.9810909090909091,0.00036877474153559735,141.4536168575287
4800,0.06885289400815964,0.867,0.9835909090909091,0.00031108348133861787,150.10875797271729
4999,0.06564926356077194,0.871,0.9842727272727273,0.00030000027746700307,156.01648807525635
